6	30
1.027190	2.135143	3.186990	4.917090	5.008422	6.263214	0
1.793667	2.241059	3.991305	4.123279	5.396904	6.713785	1
1.999231	2.927516	3.712030	4.013445	5.649868	6.977600	2
1.110239	2.391101	3.871365	4.369691	5.085001	6.637122	3
1.622601	2.511263	3.479631	4.698641	5.768810	6.545924	4
1.132572	2.092896	3.496005	4.889347	5.969702	6.848057	5
1.310030	2.021699	3.287532	4.593771	5.714797	6.802098	6
1.134788	2.159535	3.060941	4.156691	5.781962	6.668306	7
1.223326	2.844516	3.262468	4.316689	5.237565	6.670983	8
1.396547	2.879153	3.186261	4.233395	5.195731	6.820644	9
3.970472	1.673834	6.335633	5.728600	4.156835	2.939793	10
3.486925	1.514880	6.275100	5.955099	4.416353	2.832799	11
3.817469	1.221579	6.044528	5.656351	4.094035	2.469978	12
3.641571	1.725009	6.093896	5.742305	4.449946	2.629866	13
3.306349	1.068247	6.409997	5.344966	4.869152	2.058188	14
3.660932	1.964124	6.816892	5.884022	4.391617	2.542187	15
3.358017	1.207657	6.870517	5.347244	4.252784	2.455726	16
3.938199	1.161118	6.022555	5.059477	4.354382	2.863087	17
3.487667	1.638221	6.727177	5.718415	4.742978	2.855197	18
3.090990	1.000228	6.848009	5.958214	4.650832	2.472256	19
5.786924	3.251676	1.883766	2.252689	6.565730	4.585502	20
5.655982	3.432989	1.457406	2.584887	6.611899	4.558559	21
5.000040	3.842382	1.799202	2.523704	6.102977	4.200696	22
5.131237	3.184489	1.134077	2.163419	6.158316	4.087422	23
5.494875	3.508179	1.065314	2.486398	6.413650	4.933230	24
5.038333	3.452240	1.375145	2.496061	6.560410	4.259380	25
5.227436	3.325584	1.373523	2.843194	6.268677	4.204171	26
5.327883	3.380076	1.484022	2.806198	6.784254	4.049208	27
5.899469	3.886480	1.969459	2.857786	6.387871	4.606161	28
5.313730	3.761261	1.342061	2.609754	6.030984	4.546349	29
